"N","Time","avg(X)","avg(Y)","avg(Z)","avg(u)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(u)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(u)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(u)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(u)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(u)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(u)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(u)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,0,0,0.15625,0.28125,0.11799,774,0,0.15625,0.28125,0.11799,774,0,0.15625,0.28125,0.11799,774,0,0.15625,0.28125,0.11799,774,0,0.15625,0.28125,0.11799,774,0,0.15625,0.28125,0.11799,774,0,0,0,0,0,0,0.15625,0.28125,0.11799,774,
1,1,0,0.15625,0.28125,0.29397,774,0,0.15625,0.28125,0.29397,774,0,0.15625,0.28125,0.29397,774,0,0.15625,0.28125,0.29397,774,0,0.15625,0.28125,0.29397,774,0,0.15625,0.28125,0.29397,774,0,0,0,0,0,0,0.15625,0.28125,0.29397,774,
1,2,0,0.15625,0.28125,1.0036,774,0,0.15625,0.28125,1.0036,774,0,0.15625,0.28125,1.0036,774,0,0.15625,0.28125,1.0036,774,0,0.15625,0.28125,1.0036,774,0,0.15625,0.28125,1.0036,774,0,0,0,0,0,0,0.15625,0.28125,1.0036,774,
1,3,0,0.15625,0.28125,8.8155,774,0,0.15625,0.28125,8.8155,774,0,0.15625,0.28125,8.8155,774,0,0.15625,0.28125,8.8155,774,0,0.15625,0.28125,8.8155,774,0,0.15625,0.28125,8.8155,774,0,0,0,0,0,0,0.15625,0.28125,8.8155,774,
1,4,0,0.15625,0.28125,4.4526,774,0,0.15625,0.28125,4.4526,774,0,0.15625,0.28125,4.4526,774,0,0.15625,0.28125,4.4526,774,0,0.15625,0.28125,4.4526,774,0,0.15625,0.28125,4.4526,774,0,0,0,0,0,0,0.15625,0.28125,4.4526,774,
1,5,0,0.15625,0.28125,3.2192,774,0,0.15625,0.28125,3.2192,774,0,0.15625,0.28125,3.2192,774,0,0.15625,0.28125,3.2192,774,0,0.15625,0.28125,3.2192,774,0,0.15625,0.28125,3.2192,774,0,0,0,0,0,0,0.15625,0.28125,3.2192,774,
1,6,0,0.15625,0.28125,2.6341,774,0,0.15625,0.28125,2.6341,774,0,0.15625,0.28125,2.6341,774,0,0.15625,0.28125,2.6341,774,0,0.15625,0.28125,2.6341,774,0,0.15625,0.28125,2.6341,774,0,0,0,0,0,0,0.15625,0.28125,2.6341,774,
1,7,0,0.15625,0.28125,2.2771,774,0,0.15625,0.28125,2.2771,774,0,0.15625,0.28125,2.2771,774,0,0.15625,0.28125,2.2771,774,0,0.15625,0.28125,2.2771,774,0,0.15625,0.28125,2.2771,774,0,0,0,0,0,0,0.15625,0.28125,2.2771,774,
1,8,0,0.15625,0.28125,2.0298,774,0,0.15625,0.28125,2.0298,774,0,0.15625,0.28125,2.0298,774,0,0.15625,0.28125,2.0298,774,0,0.15625,0.28125,2.0298,774,0,0.15625,0.28125,2.0298,774,0,0,0,0,0,0,0.15625,0.28125,2.0298,774,
1,9,0,0.15625,0.28125,1.8446,774,0,0.15625,0.28125,1.8446,774,0,0.15625,0.28125,1.8446,774,0,0.15625,0.28125,1.8446,774,0,0.15625,0.28125,1.8446,774,0,0.15625,0.28125,1.8446,774,0,0,0,0,0,0,0.15625,0.28125,1.8446,774,
1,10,0,0.15625,0.28125,1.6987,774,0,0.15625,0.28125,1.6987,774,0,0.15625,0.28125,1.6987,774,0,0.15625,0.28125,1.6987,774,0,0.15625,0.28125,1.6987,774,0,0.15625,0.28125,1.6987,774,0,0,0,0,0,0,0.15625,0.28125,1.6987,774,
1,11,0,0.15625,0.28125,1.5797,774,0,0.15625,0.28125,1.5797,774,0,0.15625,0.28125,1.5797,774,0,0.15625,0.28125,1.5797,774,0,0.15625,0.28125,1.5797,774,0,0.15625,0.28125,1.5797,774,0,0,0,0,0,0,0.15625,0.28125,1.5797,774,
1,12,0,0.15625,0.28125,1.4801,774,0,0.15625,0.28125,1.4801,774,0,0.15625,0.28125,1.4801,774,0,0.15625,0.28125,1.4801,774,0,0.15625,0.28125,1.4801,774,0,0.15625,0.28125,1.4801,774,0,0,0,0,0,0,0.15625,0.28125,1.4801,774,
1,13,0,0.15625,0.28125,1.3953,774,0,0.15625,0.28125,1.3953,774,0,0.15625,0.28125,1.3953,774,0,0.15625,0.28125,1.3953,774,0,0.15625,0.28125,1.3953,774,0,0.15625,0.28125,1.3953,774,0,0,0,0,0,0,0.15625,0.28125,1.3953,774,
1,14,0,0.15625,0.28125,1.3218,774,0,0.15625,0.28125,1.3218,774,0,0.15625,0.28125,1.3218,774,0,0.15625,0.28125,1.3218,774,0,0.15625,0.28125,1.3218,774,0,0.15625,0.28125,1.3218,774,0,0,0,0,0,0,0.15625,0.28125,1.3218,774,
1,15,0,0.15625,0.28125,1.2572,774,0,0.15625,0.28125,1.2572,774,0,0.15625,0.28125,1.2572,774,0,0.15625,0.28125,1.2572,774,0,0.15625,0.28125,1.2572,774,0,0.15625,0.28125,1.2572,774,0,0,0,0,0,0,0.15625,0.28125,1.2572,774,
1,16,0,0.15625,0.28125,1.1997,774,0,0.15625,0.28125,1.1997,774,0,0.15625,0.28125,1.1997,774,0,0.15625,0.28125,1.1997,774,0,0.15625,0.28125,1.1997,774,0,0.15625,0.28125,1.1997,774,0,0,0,0,0,0,0.15625,0.28125,1.1997,774,
1,17,0,0.15625,0.28125,1.1479,774,0,0.15625,0.28125,1.1479,774,0,0.15625,0.28125,1.1479,774,0,0.15625,0.28125,1.1479,774,0,0.15625,0.28125,1.1479,774,0,0.15625,0.28125,1.1479,774,0,0,0,0,0,0,0.15625,0.28125,1.1479,774,
1,18,0,0.15625,0.28125,1.1008,774,0,0.15625,0.28125,1.1008,774,0,0.15625,0.28125,1.1008,774,0,0.15625,0.28125,1.1008,774,0,0.15625,0.28125,1.1008,774,0,0.15625,0.28125,1.1008,774,0,0,0,0,0,0,0.15625,0.28125,1.1008,774,
1,19,0,0.15625,0.28125,1.0576,774,0,0.15625,0.28125,1.0576,774,0,0.15625,0.28125,1.0576,774,0,0.15625,0.28125,1.0576,774,0,0.15625,0.28125,1.0576,774,0,0.15625,0.28125,1.0576,774,0,0,0,0,0,0,0.15625,0.28125,1.0576,774,
1,20,0,0.15625,0.28125,1.0177,774,0,0.15625,0.28125,1.0177,774,0,0.15625,0.28125,1.0177,774,0,0.15625,0.28125,1.0177,774,0,0.15625,0.28125,1.0177,774,0,0.15625,0.28125,1.0177,774,0,0,0,0,0,0,0.15625,0.28125,1.0177,774,
1,21,0,0.15625,0.28125,0.98068,774,0,0.15625,0.28125,0.98068,774,0,0.15625,0.28125,0.98068,774,0,0.15625,0.28125,0.98068,774,0,0.15625,0.28125,0.98068,774,0,0.15625,0.28125,0.98068,774,0,0,0,0,0,0,0.15625,0.28125,0.98068,774,
1,22,0,0.15625,0.28125,0.94617,774,0,0.15625,0.28125,0.94617,774,0,0.15625,0.28125,0.94617,774,0,0.15625,0.28125,0.94617,774,0,0.15625,0.28125,0.94617,774,0,0.15625,0.28125,0.94617,774,0,0,0,0,0,0,0.15625,0.28125,0.94617,774,
1,23,0,0.15625,0.28125,0.91389,774,0,0.15625,0.28125,0.91389,774,0,0.15625,0.28125,0.91389,774,0,0.15625,0.28125,0.91389,774,0,0.15625,0.28125,0.91389,774,0,0.15625,0.28125,0.91389,774,0,0,0,0,0,0,0.15625,0.28125,0.91389,774,
1,24,0,0.15625,0.28125,0.88361,774,0,0.15625,0.28125,0.88361,774,0,0.15625,0.28125,0.88361,774,0,0.15625,0.28125,0.88361,774,0,0.15625,0.28125,0.88361,774,0,0.15625,0.28125,0.88361,774,0,0,0,0,0,0,0.15625,0.28125,0.88361,774,
1,25,0,0.15625,0.28125,0.85512,774,0,0.15625,0.28125,0.85512,774,0,0.15625,0.28125,0.85512,774,0,0.15625,0.28125,0.85512,774,0,0.15625,0.28125,0.85512,774,0,0.15625,0.28125,0.85512,774,0,0,0,0,0,0,0.15625,0.28125,0.85512,774,
1,26,0,0.15625,0.28125,0.82828,774,0,0.15625,0.28125,0.82828,774,0,0.15625,0.28125,0.82828,774,0,0.15625,0.28125,0.82828,774,0,0.15625,0.28125,0.82828,774,0,0.15625,0.28125,0.82828,774,0,0,0,0,0,0,0.15625,0.28125,0.82828,774,
1,27,0,0.15625,0.28125,0.80294,774,0,0.15625,0.28125,0.80294,774,0,0.15625,0.28125,0.80294,774,0,0.15625,0.28125,0.80294,774,0,0.15625,0.28125,0.80294,774,0,0.15625,0.28125,0.80294,774,0,0,0,0,0,0,0.15625,0.28125,0.80294,774,
1,28,0,0.15625,0.28125,0.77898,774,0,0.15625,0.28125,0.77898,774,0,0.15625,0.28125,0.77898,774,0,0.15625,0.28125,0.77898,774,0,0.15625,0.28125,0.77898,774,0,0.15625,0.28125,0.77898,774,0,0,0,0,0,0,0.15625,0.28125,0.77898,774,
1,29,0,0.15625,0.28125,0.75628,774,0,0.15625,0.28125,0.75628,774,0,0.15625,0.28125,0.75628,774,0,0.15625,0.28125,0.75628,774,0,0.15625,0.28125,0.75628,774,0,0.15625,0.28125,0.75628,774,0,0,0,0,0,0,0.15625,0.28125,0.75628,774,
1,30,0,0.15625,0.28125,0.73474,774,0,0.15625,0.28125,0.73474,774,0,0.15625,0.28125,0.73474,774,0,0.15625,0.28125,0.73474,774,0,0.15625,0.28125,0.73474,774,0,0.15625,0.28125,0.73474,774,0,0,0,0,0,0,0.15625,0.28125,0.73474,774,
1,31,0,0.15625,0.28125,0.71427,774,0,0.15625,0.28125,0.71427,774,0,0.15625,0.28125,0.71427,774,0,0.15625,0.28125,0.71427,774,0,0.15625,0.28125,0.71427,774,0,0.15625,0.28125,0.71427,774,0,0,0,0,0,0,0.15625,0.28125,0.71427,774,
1,32,0,0.15625,0.28125,0.69479,774,0,0.15625,0.28125,0.69479,774,0,0.15625,0.28125,0.69479,774,0,0.15625,0.28125,0.69479,774,0,0.15625,0.28125,0.69479,774,0,0.15625,0.28125,0.69479,774,0,0,0,0,0,0,0.15625,0.28125,0.69479,774,
1,33,0,0.15625,0.28125,0.67621,774,0,0.15625,0.28125,0.67621,774,0,0.15625,0.28125,0.67621,774,0,0.15625,0.28125,0.67621,774,0,0.15625,0.28125,0.67621,774,0,0.15625,0.28125,0.67621,774,0,0,0,0,0,0,0.15625,0.28125,0.67621,774,
1,34,0,0.15625,0.28125,0.65844,774,0,0.15625,0.28125,0.65844,774,0,0.15625,0.28125,0.65844,774,0,0.15625,0.28125,0.65844,774,0,0.15625,0.28125,0.65844,774,0,0.15625,0.28125,0.65844,774,0,0,0,0,0,0,0.15625,0.28125,0.65844,774,
1,35,0,0.15625,0.28125,0.64142,774,0,0.15625,0.28125,0.64142,774,0,0.15625,0.28125,0.64142,774,0,0.15625,0.28125,0.64142,774,0,0.15625,0.28125,0.64142,774,0,0.15625,0.28125,0.64142,774,0,0,0,0,0,0,0.15625,0.28125,0.64142,774,
1,36,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0,0,0,0,0,0.15625,0.28125,0.62507,774,
1,37,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0,0,0,0,0,0.15625,0.28125,0.60929,774,
1,38,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0,0,0,0,0,0.15625,0.28125,0.594,774,
