"N","Time","avg(X)","avg(Y)","avg(Z)","avg(u)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(u)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(u)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(u)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(u)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(u)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(u)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(u)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,0,0,0.125,0.3125,-0.081424,846,0,0.125,0.3125,-0.081424,846,0,0.125,0.3125,-0.081424,846,0,0.125,0.3125,-0.081424,846,0,0.125,0.3125,-0.081424,846,0,0.125,0.3125,-0.081424,846,0,0,0,0,0,0,0.125,0.3125,-0.081424,846,
1,1,0,0.125,0.3125,0.028501,846,0,0.125,0.3125,0.028501,846,0,0.125,0.3125,0.028501,846,0,0.125,0.3125,0.028501,846,0,0.125,0.3125,0.028501,846,0,0.125,0.3125,0.028501,846,0,0,0,0,0,0,0.125,0.3125,0.028501,846,
1,2,0,0.125,0.3125,0.02982,846,0,0.125,0.3125,0.02982,846,0,0.125,0.3125,0.02982,846,0,0.125,0.3125,0.02982,846,0,0.125,0.3125,0.02982,846,0,0.125,0.3125,0.02982,846,0,0,0,0,0,0,0.125,0.3125,0.02982,846,
1,3,0,0.125,0.3125,0.026567,846,0,0.125,0.3125,0.026567,846,0,0.125,0.3125,0.026567,846,0,0.125,0.3125,0.026567,846,0,0.125,0.3125,0.026567,846,0,0.125,0.3125,0.026567,846,0,0,0,0,0,0,0.125,0.3125,0.026567,846,
1,4,0,0.125,0.3125,0.02771,846,0,0.125,0.3125,0.02771,846,0,0.125,0.3125,0.02771,846,0,0.125,0.3125,0.02771,846,0,0.125,0.3125,0.02771,846,0,0.125,0.3125,0.02771,846,0,0,0,0,0,0,0.125,0.3125,0.02771,846,
1,5,0,0.125,0.3125,0.0266,846,0,0.125,0.3125,0.0266,846,0,0.125,0.3125,0.0266,846,0,0.125,0.3125,0.0266,846,0,0.125,0.3125,0.0266,846,0,0.125,0.3125,0.0266,846,0,0,0,0,0,0,0.125,0.3125,0.0266,846,
1,6,0,0.125,0.3125,0.025448,846,0,0.125,0.3125,0.025448,846,0,0.125,0.3125,0.025448,846,0,0.125,0.3125,0.025448,846,0,0.125,0.3125,0.025448,846,0,0.125,0.3125,0.025448,846,0,0,0,0,0,0,0.125,0.3125,0.025448,846,
1,7,0,0.125,0.3125,0.024306,846,0,0.125,0.3125,0.024306,846,0,0.125,0.3125,0.024306,846,0,0.125,0.3125,0.024306,846,0,0.125,0.3125,0.024306,846,0,0.125,0.3125,0.024306,846,0,0,0,0,0,0,0.125,0.3125,0.024306,846,
1,8,0,0.125,0.3125,0.023153,846,0,0.125,0.3125,0.023153,846,0,0.125,0.3125,0.023153,846,0,0.125,0.3125,0.023153,846,0,0.125,0.3125,0.023153,846,0,0.125,0.3125,0.023153,846,0,0,0,0,0,0,0.125,0.3125,0.023153,846,
1,9,0,0.125,0.3125,0.021989,846,0,0.125,0.3125,0.021989,846,0,0.125,0.3125,0.021989,846,0,0.125,0.3125,0.021989,846,0,0.125,0.3125,0.021989,846,0,0.125,0.3125,0.021989,846,0,0,0,0,0,0,0.125,0.3125,0.021989,846,
1,10,0,0.125,0.3125,0.020829,846,0,0.125,0.3125,0.020829,846,0,0.125,0.3125,0.020829,846,0,0.125,0.3125,0.020829,846,0,0.125,0.3125,0.020829,846,0,0.125,0.3125,0.020829,846,0,0,0,0,0,0,0.125,0.3125,0.020829,846,
1,11,0,0.125,0.3125,0.019689,846,0,0.125,0.3125,0.019689,846,0,0.125,0.3125,0.019689,846,0,0.125,0.3125,0.019689,846,0,0.125,0.3125,0.019689,846,0,0.125,0.3125,0.019689,846,0,0,0,0,0,0,0.125,0.3125,0.019689,846,
1,12,0,0.125,0.3125,0.018579,846,0,0.125,0.3125,0.018579,846,0,0.125,0.3125,0.018579,846,0,0.125,0.3125,0.018579,846,0,0.125,0.3125,0.018579,846,0,0.125,0.3125,0.018579,846,0,0,0,0,0,0,0.125,0.3125,0.018579,846,
1,13,0,0.125,0.3125,0.017507,846,0,0.125,0.3125,0.017507,846,0,0.125,0.3125,0.017507,846,0,0.125,0.3125,0.017507,846,0,0.125,0.3125,0.017507,846,0,0.125,0.3125,0.017507,846,0,0,0,0,0,0,0.125,0.3125,0.017507,846,
1,14,0,0.125,0.3125,0.016476,846,0,0.125,0.3125,0.016476,846,0,0.125,0.3125,0.016476,846,0,0.125,0.3125,0.016476,846,0,0.125,0.3125,0.016476,846,0,0.125,0.3125,0.016476,846,0,0,0,0,0,0,0.125,0.3125,0.016476,846,
1,15,0,0.125,0.3125,0.015486,846,0,0.125,0.3125,0.015486,846,0,0.125,0.3125,0.015486,846,0,0.125,0.3125,0.015486,846,0,0.125,0.3125,0.015486,846,0,0.125,0.3125,0.015486,846,0,0,0,0,0,0,0.125,0.3125,0.015486,846,
1,16,0,0.125,0.3125,0.014537,846,0,0.125,0.3125,0.014537,846,0,0.125,0.3125,0.014537,846,0,0.125,0.3125,0.014537,846,0,0.125,0.3125,0.014537,846,0,0.125,0.3125,0.014537,846,0,0,0,0,0,0,0.125,0.3125,0.014537,846,
1,17,0,0.125,0.3125,0.013625,846,0,0.125,0.3125,0.013625,846,0,0.125,0.3125,0.013625,846,0,0.125,0.3125,0.013625,846,0,0.125,0.3125,0.013625,846,0,0.125,0.3125,0.013625,846,0,0,0,0,0,0,0.125,0.3125,0.013625,846,
1,18,0,0.125,0.3125,0.012748,846,0,0.125,0.3125,0.012748,846,0,0.125,0.3125,0.012748,846,0,0.125,0.3125,0.012748,846,0,0.125,0.3125,0.012748,846,0,0.125,0.3125,0.012748,846,0,0,0,0,0,0,0.125,0.3125,0.012748,846,
1,19,0,0.125,0.3125,0.011903,846,0,0.125,0.3125,0.011903,846,0,0.125,0.3125,0.011903,846,0,0.125,0.3125,0.011903,846,0,0.125,0.3125,0.011903,846,0,0.125,0.3125,0.011903,846,0,0,0,0,0,0,0.125,0.3125,0.011903,846,
1,20,0,0.125,0.3125,0.011088,846,0,0.125,0.3125,0.011088,846,0,0.125,0.3125,0.011088,846,0,0.125,0.3125,0.011088,846,0,0.125,0.3125,0.011088,846,0,0.125,0.3125,0.011088,846,0,0,0,0,0,0,0.125,0.3125,0.011088,846,
1,21,0,0.125,0.3125,0.010298,846,0,0.125,0.3125,0.010298,846,0,0.125,0.3125,0.010298,846,0,0.125,0.3125,0.010298,846,0,0.125,0.3125,0.010298,846,0,0.125,0.3125,0.010298,846,0,0,0,0,0,0,0.125,0.3125,0.010298,846,
1,22,0,0.125,0.3125,0.0095319,846,0,0.125,0.3125,0.0095319,846,0,0.125,0.3125,0.0095319,846,0,0.125,0.3125,0.0095319,846,0,0.125,0.3125,0.0095319,846,0,0.125,0.3125,0.0095319,846,0,0,0,0,0,0,0.125,0.3125,0.0095319,846,
1,23,0,0.125,0.3125,0.0087858,846,0,0.125,0.3125,0.0087858,846,0,0.125,0.3125,0.0087858,846,0,0.125,0.3125,0.0087858,846,0,0.125,0.3125,0.0087858,846,0,0.125,0.3125,0.0087858,846,0,0,0,0,0,0,0.125,0.3125,0.0087858,846,
1,24,0,0.125,0.3125,0.008057,846,0,0.125,0.3125,0.008057,846,0,0.125,0.3125,0.008057,846,0,0.125,0.3125,0.008057,846,0,0.125,0.3125,0.008057,846,0,0.125,0.3125,0.008057,846,0,0,0,0,0,0,0.125,0.3125,0.008057,846,
1,25,0,0.125,0.3125,0.0073424,846,0,0.125,0.3125,0.0073424,846,0,0.125,0.3125,0.0073424,846,0,0.125,0.3125,0.0073424,846,0,0.125,0.3125,0.0073424,846,0,0.125,0.3125,0.0073424,846,0,0,0,0,0,0,0.125,0.3125,0.0073424,846,
1,26,0,0.125,0.3125,0.0066392,846,0,0.125,0.3125,0.0066392,846,0,0.125,0.3125,0.0066392,846,0,0.125,0.3125,0.0066392,846,0,0.125,0.3125,0.0066392,846,0,0.125,0.3125,0.0066392,846,0,0,0,0,0,0,0.125,0.3125,0.0066392,846,
1,27,0,0.125,0.3125,0.0059444,846,0,0.125,0.3125,0.0059444,846,0,0.125,0.3125,0.0059444,846,0,0.125,0.3125,0.0059444,846,0,0.125,0.3125,0.0059444,846,0,0.125,0.3125,0.0059444,846,0,0,0,0,0,0,0.125,0.3125,0.0059444,846,
1,28,0,0.125,0.3125,0.005255,846,0,0.125,0.3125,0.005255,846,0,0.125,0.3125,0.005255,846,0,0.125,0.3125,0.005255,846,0,0.125,0.3125,0.005255,846,0,0.125,0.3125,0.005255,846,0,0,0,0,0,0,0.125,0.3125,0.005255,846,
1,29,0,0.125,0.3125,0.0045681,846,0,0.125,0.3125,0.0045681,846,0,0.125,0.3125,0.0045681,846,0,0.125,0.3125,0.0045681,846,0,0.125,0.3125,0.0045681,846,0,0.125,0.3125,0.0045681,846,0,0,0,0,0,0,0.125,0.3125,0.0045681,846,
1,30,0,0.125,0.3125,0.0038803,846,0,0.125,0.3125,0.0038803,846,0,0.125,0.3125,0.0038803,846,0,0.125,0.3125,0.0038803,846,0,0.125,0.3125,0.0038803,846,0,0.125,0.3125,0.0038803,846,0,0,0,0,0,0,0.125,0.3125,0.0038803,846,
1,31,0,0.125,0.3125,0.0031884,846,0,0.125,0.3125,0.0031884,846,0,0.125,0.3125,0.0031884,846,0,0.125,0.3125,0.0031884,846,0,0.125,0.3125,0.0031884,846,0,0.125,0.3125,0.0031884,846,0,0,0,0,0,0,0.125,0.3125,0.0031884,846,
1,32,0,0.125,0.3125,0.0024884,846,0,0.125,0.3125,0.0024884,846,0,0.125,0.3125,0.0024884,846,0,0.125,0.3125,0.0024884,846,0,0.125,0.3125,0.0024884,846,0,0.125,0.3125,0.0024884,846,0,0,0,0,0,0,0.125,0.3125,0.0024884,846,
1,33,0,0.125,0.3125,0.0017761,846,0,0.125,0.3125,0.0017761,846,0,0.125,0.3125,0.0017761,846,0,0.125,0.3125,0.0017761,846,0,0.125,0.3125,0.0017761,846,0,0.125,0.3125,0.0017761,846,0,0,0,0,0,0,0.125,0.3125,0.0017761,846,
1,34,0,0.125,0.3125,0.0010461,846,0,0.125,0.3125,0.0010461,846,0,0.125,0.3125,0.0010461,846,0,0.125,0.3125,0.0010461,846,0,0.125,0.3125,0.0010461,846,0,0.125,0.3125,0.0010461,846,0,0,0,0,0,0,0.125,0.3125,0.0010461,846,
1,35,0,0.125,0.3125,0.00029199,846,0,0.125,0.3125,0.00029199,846,0,0.125,0.3125,0.00029199,846,0,0.125,0.3125,0.00029199,846,0,0.125,0.3125,0.00029199,846,0,0.125,0.3125,0.00029199,846,0,0,0,0,0,0,0.125,0.3125,0.00029199,846,
1,36,0,0.125,0.3125,-0.00049457,846,0,0.125,0.3125,-0.00049457,846,0,0.125,0.3125,-0.00049457,846,0,0.125,0.3125,-0.00049457,846,0,0.125,0.3125,-0.00049457,846,0,0.125,0.3125,-0.00049457,846,0,0,0,0,0,0,0.125,0.3125,-0.00049457,846,
