time_ms,Vm_min_mV,Vm_max_mV,Vm_mean_mV,I_ion_min,I_ion_max,I_ion_mean,Ca_i_min_uM,Ca_i_max_uM,Ca_i_mean_uM
0,-81.4246,-79.1853,-81.231,-0.243293,-0.243293,-0.243293,0.11799,0.11799,0.11799
10,28.1167,28.696,28.4272,-0.0468554,-0.0295582,-0.0420794,0.277262,0.305312,0.290341
20,29.5329,30.0173,29.8309,0.0173387,0.0789373,0.0368875,0.79053,1.24821,0.969416
30,26.1921,26.7719,26.4919,-0.0571951,-0.0517865,-0.0550508,8.31651,9.62628,9.00034
40,27.6414,27.769,27.7164,0.00669659,0.0147614,0.00867445,4.34101,4.63123,4.49306
50,26.5262,26.6789,26.6115,0.00986836,0.0169697,0.0117161,3.17496,3.28862,3.23478
60,25.379,25.525,25.4596,0.0096079,0.0162535,0.0114584,2.60989,2.67225,2.64265
70,24.2397,24.3824,24.3178,0.00964107,0.0159875,0.0115011,2.26163,2.30187,2.28267
80,23.088,23.2286,23.1644,0.00978852,0.01588,0.0116366,2.01894,2.04746,2.03375
90,21.9264,22.0641,22.001,0.0098723,0.0157042,0.0116772,1.83656,1.85805,1.84765
100,20.7689,20.9022,20.8409,0.00982871,0.0153841,0.0115614,1.69248,1.70937,1.70112
110,19.6308,19.7583,19.6997,0.00966489,0.0149332,0.0113046,1.57471,1.58837,1.58165
120,18.5237,18.6447,18.5892,0.00941694,0.0143998,0.0109525,1.47608,1.48739,1.48179
130,17.4546,17.5689,17.5166,0.00912312,0.013833,0.0105513,1.39191,1.40144,1.39669
140,16.4265,16.5342,16.485,0.0088124,0.0132688,0.0101354,1.31892,1.32709,1.32299
150,15.4395,15.5409,15.4948,0.00850301,0.012729,0.00972675,1.25471,1.26182,1.25824
160,14.4922,14.5877,14.5446,0.00820488,0.0122247,0.0093372,1.19751,1.20377,1.20061
170,13.5823,13.6726,13.632,0.00792314,0.0117608,0.00897284,1.14596,1.15155,1.14872
180,12.7072,12.7927,12.7546,0.00766066,0.0113386,0.0086365,1.09905,1.10409,1.10153
190,11.864,11.9452,11.9092,0.0074189,0.0109581,0.00832947,1.05601,1.0606,1.05827
200,11.0499,11.1273,11.0932,0.00719885,0.0106187,0.00805228,1.01626,1.02048,1.01834
210,10.2617,10.3358,10.3033,0.00700127,0.0103193,0.00780512,0.979355,0.983246,0.981272
220,9.49646,9.56774,9.53673,0.00682679,0.0100588,0.00758799,0.944943,0.94855,0.946722
230,8.7513,8.82015,8.79037,0.00667593,0.00983634,0.00740073,0.912743,0.916101,0.914401
240,8.0232,8.09001,8.06127,0.00654913,0.00965074,0.00724312,0.882529,0.885664,0.88408
250,7.30924,7.37436,7.34648,0.00644681,0.0095011,0.00711496,0.854112,0.857046,0.855566
260,6.6065,6.67025,6.64308,0.00636946,0.00938669,0.00701614,0.827329,0.830082,0.828697
270,5.91204,5.97473,5.94812,0.00631772,0.00930715,0.00694678,0.802041,0.804629,0.80333
280,5.22293,5.28482,5.25863,0.00629256,0.00926255,0.00690739,0.778124,0.780562,0.779341
290,4.53611,4.59747,4.57158,0.00629544,0.0092537,0.00689907,0.755468,0.757767,0.756619
300,3.84842,3.90947,3.88378,0.00632856,0.00928228,0.00692369,0.733971,0.736144,0.735061
310,3.15642,3.2174,3.19178,0.00639515,0.00935126,0.00698429,0.713541,0.715596,0.714576
320,2.4563,2.51743,2.49179,0.00649997,0.0094653,0.00708547,0.69409,0.696038,0.695074
330,1.74369,1.8052,1.77943,0.00664755,0.00963152,0.00723412,0.675538,0.677387,0.676475
340,1.01336,1.07549,1.04947,0.00684623,0.00986055,0.00744043,0.657804,0.659562,0.658698
350,0.258806,0.321828,0.295434,0.00711528,0.0101684,0.00771971,0.640811,0.642485,0.641665
360,-0.528362,-0.464136,-0.491047,0.00747756,0.0105793,0.00809529,0.624479,0.626075,0.625297
370,-1.35951,-1.29369,-1.3213,0.00796895,0.0111316,0.00860382,0.608724,0.610249,0.609509
380,-2.25072,-2.18282,-2.21136,0.00864822,0.0118877,0.00930524,0.593452,0.594913,0.594207
390,-3.22607,-3.15543,-3.18519,0.00961663,0.0129543,0.0103027,0.57855,0.579954,0.579279
400,-4.3238,-4.24946,-4.2809,0.0110602,0.014527,0.0117855,0.563873,0.565227,0.564579
410,-5.60926,-5.52979,-5.56357,0.0133481,0.0169909,0.0141282,0.549212,0.550524,0.549899
420,-7.2041,-7.11722,-7.15442,0.0172804,0.021175,0.0181409,0.53423,0.535511,0.534904
430,-9.35817,-9.26011,-9.30249,0.0247548,0.0290279,0.0257383,0.518321,0.519582,0.518988
440,-12.6334,-12.5183,-12.5686,0.0404653,0.0453154,0.0416351,0.500261,0.501518,0.500929
450,-18.3379,-18.1984,-18.2599,0.0756293,0.0813778,0.0770748,0.477577,0.478836,0.478248
460,-30.7324,-30.5326,-30.622,0.197409,0.205483,0.199614,0.445287,0.446539,0.445956
470,-64.4919,-64.3056,-64.3894,0.400866,0.404765,0.401936,0.393979,0.395044,0.394546
480,-73.9299,-73.9006,-73.9116,0.00819982,0.0107034,0.00868916,0.356255,0.357027,0.356664
490,-74.6053,-74.5805,-74.5896,0.00529467,0.00758283,0.00575135,0.333927,0.334584,0.334274
500,-75.1063,-75.0846,-75.0924,0.00407082,0.00618644,0.00450008,0.31623,0.316805,0.316533
510,-75.5046,-75.4852,-75.4921,0.00323485,0.00521021,0.00364214,0.30153,0.302042,0.3018
520,-75.8305,-75.813,-75.8191,0.00263628,0.00449444,0.00302544,0.289036,0.289498,0.28928
530,-76.1036,-76.0876,-76.0931,0.00219413,0.00395443,0.00256794,0.278228,0.278647,0.278449
540,-76.337,-76.3223,-76.3273,0.00185797,0.00353581,0.00221852,0.268739,0.269122,0.268941
550,-76.5397,-76.526,-76.5307,0.00159574,0.00320093,0.00194468,0.260308,0.260659,0.260493
560,-76.7181,-76.7054,-76.7096,0.00138652,0.002927,0.00172515,0.252743,0.253065,0.252913
570,-76.8768,-76.8649,-76.8688,0.00121624,0.00269863,0.00154564,0.245896,0.246194,0.246054
580,-77.0192,-77.0081,-77.0117,0.00107522,0.00250508,0.0013963,0.239658,0.239933,0.239804
590,-77.1481,-77.1376,-77.1409,0.000956633,0.00233876,0.00127017,0.23394,0.234194,0.234075
600,-77.2654,-77.2555,-77.2586,0.000855562,0.00219411,0.00116222,0.228673,0.228909,0.228798
610,-77.3727,-77.3634,-77.3663,0.000768408,0.00206703,0.00106877,0.2238,0.224019,0.223917
620,-77.4714,-77.4626,-77.4653,0.000692481,0.0019544,0.000987062,0.219276,0.219479,0.219384
630,-77.5625,-77.5541,-77.5566,0.000625742,0.00185384,0.000915004,0.215062,0.215252,0.215163
640,-77.6468,-77.6389,-77.6412,0.000566622,0.00176347,0.000850976,0.211126,0.211303,0.211221
650,-77.7252,-77.7177,-77.7199,0.000513893,0.00168183,0.00079371,0.207442,0.207606,0.20753
660,-77.7982,-77.7911,-77.7931,0.000466587,0.00160771,0.000742201,0.203985,0.204138,0.204067
670,-77.8664,-77.8596,-77.8614,0.000423924,0.00154015,0.000695639,0.200736,0.200879,0.200813
680,-77.9301,-77.9236,-77.9254,0.000385273,0.00147835,0.000653365,0.197676,0.19781,0.197748
690,-77.9899,-77.9835,-77.9854,0.000350116,0.00142163,0.000614839,0.194791,0.194915,0.194858
700,-78.0461,-78.0397,-78.0417,0.000318023,0.00136944,0.000579608,0.192066,0.192182,0.192129
710,-78.0989,-78.0924,-78.0946,0.000288635,0.00132129,0.000547295,0.18949,0.189598,0.189549
720,-78.1486,-78.1422,-78.1445,0.000261647,0.00127678,0.000517578,0.187051,0.187152,0.187107
730,-78.1955,-78.1891,-78.1916,0.000236584,0.00123556,0.000490183,0.18474,0.184835,0.184792
740,-78.2399,-78.2334,-78.236,0.000213319,0.0011973,0.000464873,0.182548,0.182636,0.182597
750,-78.2818,-78.2753,-78.278,0.000191803,0.00116174,0.000441444,0.180467,0.180548,0.180512
760,-78.3215,-78.315,-78.3178,0.000171865,0.00112864,0.000419716,0.178489,0.178565,0.178531
770,-78.3591,-78.3526,-78.3555,0.000153359,0.0010978,0.000399533,0.176607,0.176678,0.176647
