time_ms,Vm_mV
0.000000,-79.226523
0.001000,-79.217025
0.002200,-79.205628
0.003640,-79.191954
0.005368,-79.175549
0.007442,-79.155866
0.009930,-79.132254
0.012916,-79.103928
0.016499,-79.069949
0.020799,-79.029193
0.025959,-78.980313
0.032150,-78.921695
0.039581,-78.851407
0.048497,-78.767140
0.059196,-78.666130
0.072035,-78.545077
0.087442,-78.400038
0.089291,-78.382650
0.091510,-78.361789
0.094172,-78.336762
0.097367,-78.306739
0.101200,-78.270725
0.105801,-78.227528
0.111322,-78.175720
0.117946,-78.113590
0.125896,-78.039092
0.135436,-77.949776
0.146883,-77.842714
0.160620,-77.714407
0.162269,-77.699022
0.164247,-77.680564
0.166621,-77.658419
0.169469,-77.631852
0.172887,-77.599982
0.176989,-77.561752
0.181911,-77.515897
0.187818,-77.460901
0.194906,-77.394948
0.203412,-77.315866
0.213618,-77.221055
0.225867,-77.107406
0.240564,-76.971204
0.242328,-76.954872
0.244445,-76.935278
0.246984,-76.911771
0.250032,-76.883569
0.253689,-76.849737
0.258078,-76.809155
0.263344,-76.760478
0.269664,-76.702097
0.277248,-76.632085
0.286348,-76.548135
0.297269,-76.447487
0.310373,-76.326839
0.326099,-76.182247
0.327986,-76.164910
0.330251,-76.144108
0.332968,-76.119152
0.336229,-76.089213
0.340142,-76.053297
0.344837,-76.010213
0.350472,-75.958536
0.357234,-75.896556
0.365348,-75.822227
0.375085,-75.733100
0.386769,-75.626242
0.400790,-75.498148
0.417615,-75.344628
0.419634,-75.326219
0.422057,-75.304133
0.424965,-75.277635
0.428454,-75.245845
0.432640,-75.207710
0.437664,-75.161963
0.443693,-75.107091
0.450928,-75.041278
0.459609,-74.962351
0.470027,-74.867707
0.482528,-74.754232
0.497530,-74.618200
0.515532,-74.455158
0.517692,-74.435607
0.520284,-74.412150
0.523395,-74.384007
0.527128,-74.350244
0.531607,-74.309740
0.536983,-74.261151
0.543433,-74.202869
0.551173,-74.132965
0.560462,-74.049128
0.571608,-73.948593
0.584984,-73.828048
0.601035,-73.683534
0.602961,-73.666202
0.605272,-73.645407
0.608045,-73.620456
0.611374,-73.590522
0.615368,-73.554608
0.620160,-73.511524
0.625912,-73.459840
0.632813,-73.397843
0.641095,-73.323481
0.651033,-73.234295
0.662959,-73.127342
0.677270,-72.999095
0.694443,-72.845336
0.696504,-72.826895
0.698977,-72.804768
0.701944,-72.778220
0.705505,-72.746368
0.709778,-72.708154
0.714906,-72.662308
0.721060,-72.607310
0.728444,-72.541335
0.737305,-72.462199
0.747938,-72.367283
0.760698,-72.253450
0.776009,-72.116944
0.777847,-72.100570
0.780052,-72.080923
0.782698,-72.057350
0.785873,-72.029065
0.789683,-71.995129
0.794255,-71.954414
0.799741,-71.905566
0.806325,-71.846965
0.814226,-71.776666
0.823706,-71.692339
0.835083,-71.591191
0.848735,-71.469876
0.865118,-71.324383
0.867083,-71.306930
0.869443,-71.285988
0.872273,-71.260861
0.875671,-71.230711
0.879747,-71.194536
0.884639,-71.151133
0.890509,-71.099059
0.897553,-71.036585
0.906006,-70.961635
0.916150,-70.871723
0.928322,-70.763867
0.942929,-70.634491
0.944682,-70.618970
0.946785,-70.600345
0.949309,-70.577997
0.952338,-70.551181
0.955973,-70.519005
0.960334,-70.480398
0.965568,-70.434075
0.971849,-70.378496
0.979386,-70.311812
0.988430,-70.231806
0.999283,-70.135821
1.012306,-70.020666
1.027935,-69.882518
1.029810,-69.865943
1.032061,-69.846053
1.034761,-69.822186
1.038002,-69.793547
1.041891,-69.759183
1.046557,-69.717947
1.052157,-69.668468
1.058877,-69.609098
1.066941,-69.537860
1.076618,-69.452382
1.088230,-69.349817
1.102164,-69.226748
1.103836,-69.211980
1.105843,-69.194259
1.108250,-69.172994
1.111140,-69.147476
1.114607,-69.116855
1.118768,-69.080110
1.123761,-69.036015
1.129752,-68.983102
1.136942,-68.919605
1.145570,-68.843407
1.155923,-68.751966
1.168347,-68.642227
1.183256,-68.510523
1.185045,-68.494717
1.187192,-68.475750
1.189768,-68.452988
1.192860,-68.425672
1.196570,-68.392892
1.201021,-68.353554
1.206363,-68.306343
1.212774,-68.249684
1.220467,-68.181684
1.229698,-68.100069
1.240775,-68.002107
1.254068,-67.884513
1.255663,-67.870398
1.257577,-67.853460
1.259874,-67.833133
1.262631,-67.808738
1.265938,-67.779462
1.269908,-67.744326
1.274671,-67.702156
1.280386,-67.651542
1.287245,-67.590791
1.295476,-67.517868
1.305352,-67.430325
1.317204,-67.325221
1.331427,-67.199012
1.333134,-67.183860
1.335182,-67.165677
1.337639,-67.143854
1.340588,-67.117662
1.344127,-67.086226
1.348374,-67.048494
1.353470,-67.003202
1.359586,-66.948833
1.366924,-66.883561
1.375730,-66.805191
1.386298,-66.711081
1.398979,-66.598048
1.414196,-66.462253
1.432456,-66.299055
1.434647,-66.279453
1.437277,-66.255924
1.440432,-66.227682
1.444219,-66.193779
1.448763,-66.153078
1.454215,-66.104211
1.460758,-66.045533
1.468610,-65.975062
1.478032,-65.890411
1.489338,-65.788703
1.502906,-65.666458
1.519187,-65.519465
1.521141,-65.501803
1.523485,-65.480602
1.526299,-65.455151
1.529675,-65.424595
1.533726,-65.387908
1.538588,-65.343853
1.544421,-65.290941
1.551422,-65.227381
1.559823,-65.151010
1.569904,-65.059216
1.582001,-64.948842
1.596517,-64.816055
1.613937,-64.656191
1.616027,-64.636968
1.618536,-64.613889
1.621546,-64.586177
1.625158,-64.552898
1.629493,-64.512927
1.634694,-64.464909
1.640936,-64.407209
1.648426,-64.337855
1.657415,-64.254458
1.668200,-64.154126
1.681144,-64.033341
1.696675,-63.887814
1.715313,-63.712279
1.717550,-63.691147
1.720234,-63.665767
1.723454,-63.635282
1.727319,-63.598658
1.731957,-63.554645
1.737522,-63.501738
1.744200,-63.438114
1.752214,-63.361563
1.761831,-63.269402
1.773371,-63.158361
1.787219,-63.024434
1.803837,-62.862690
1.805831,-62.843202
1.808224,-62.819794
1.811096,-62.791671
1.814542,-62.757875
1.818677,-62.717248
1.823639,-62.668393
1.829593,-62.609613
1.836739,-62.538851
1.845313,-62.453603
1.855602,-62.350805
1.867950,-62.226699
1.882766,-62.076635
1.900546,-61.894819
1.902680,-61.872869
1.905240,-61.846490
1.908312,-61.814779
1.911999,-61.776643
1.916424,-61.730759
1.921733,-61.675521
1.928103,-61.608976
1.935748,-61.528735
1.944923,-61.431873
1.955931,-61.314781
1.969142,-61.172976
1.984995,-61.000839
2.004018,-60.791237
2.006301,-60.787541
2.009040,-60.783037
2.012328,-60.777540
2.016272,-60.770814
2.021006,-60.762562
2.026686,-60.752414
2.033503,-60.739902
2.041682,-60.724438
2.051498,-60.705282
2.063277,-60.681507
2.077411,-60.651949
2.079107,-60.648331
2.081143,-60.643970
2.083585,-60.638709
2.086516,-60.632359
2.090033,-60.624685
2.094254,-60.615399
2.099318,-60.604150
2.105396,-60.590502
2.112689,-60.573915
2.121441,-60.553721
2.131943,-60.529084
2.144545,-60.498958
2.159668,-60.462026
2.177816,-60.416612
2.179993,-60.411083
2.182606,-60.404426
2.185742,-60.396405
2.189505,-60.386735
2.194021,-60.375064
2.199440,-60.360964
2.205943,-60.343907
2.213746,-60.323241
2.223109,-60.298156
2.234346,-60.267640
2.247830,-60.230417
2.264010,-60.184869
2.283427,-60.128912
2.285757,-60.122101
2.288553,-60.113899
2.291908,-60.104018
2.295934,-60.092101
2.300766,-60.077717
2.306563,-60.060334
2.313521,-60.039296
2.321870,-60.013789
2.331888,-59.982800
2.343910,-59.945054
2.358337,-59.898931
2.375649,-59.842356
2.377727,-59.835476
2.380220,-59.827193
2.383211,-59.817215
2.386801,-59.805186
2.391109,-59.790670
2.396278,-59.773134
2.402481,-59.751920
2.409925,-59.726214
2.418858,-59.695002
2.429577,-59.657009
2.442440,-59.610624
2.457876,-59.553784
2.476398,-59.483812
2.478621,-59.475283
2.481288,-59.465010
2.484489,-59.452627
2.488330,-59.437687
2.492939,-59.419642
2.498470,-59.397816
2.505107,-59.371376
2.513071,-59.339283
2.522629,-59.300233
2.534097,-59.252579
2.547860,-59.194216
2.564375,-59.122420
2.566357,-59.113672
2.568735,-59.103137
2.571589,-59.090440
2.575013,-59.075122
2.579123,-59.056624
2.584054,-59.034256
2.589972,-59.007165
2.597073,-58.974292
2.605594,-58.934310
2.615820,-58.885541
2.628091,-58.825846
2.642816,-58.752462
2.660486,-58.661770
2.662606,-58.650689
2.665151,-58.637334
2.668204,-58.621224
2.671868,-58.601771
2.676265,-58.578251
2.681541,-58.549767
2.687873,-58.515208
2.695470,-58.473182
2.704588,-58.421929
2.715528,-58.359209
2.728657,-58.282130
2.744412,-58.186904
2.746303,-58.175272
2.748571,-58.161254
2.751294,-58.144345
2.754561,-58.123929
2.758481,-58.099246
2.763185,-58.069358
2.768830,-58.033101
2.775605,-57.989017
2.783734,-57.935268
2.793489,-57.869511
2.805195,-57.788728
2.819242,-57.688970
2.836098,-57.564987
2.838121,-57.549786
2.840548,-57.531451
2.843461,-57.509311
2.846956,-57.482544
2.851151,-57.450131
2.856184,-57.410808
2.862224,-57.362994
2.869472,-57.304691
2.878170,-57.233358
2.888607,-57.145714
2.901131,-57.037471
2.916161,-56.902926
2.934196,-56.734330
2.936360,-56.713557
2.938957,-56.688468
2.942074,-56.658129
2.945814,-56.621381
2.950301,-56.576785
2.955687,-56.522538
2.962149,-56.456362
2.969904,-56.375350
2.979210,-56.275749
2.990377,-56.152639
3.003777,-55.999462
3.019858,-55.807292
3.021787,-55.783597
3.024103,-55.754975
3.026882,-55.720355
3.030216,-55.678412
3.034217,-55.627497
3.039019,-55.565541
3.044781,-55.489928
3.051695,-55.397316
3.059992,-55.283381
3.069949,-55.142449
3.081897,-54.966943
3.096234,-54.746524
3.113439,-54.466737
3.115504,-54.431992
3.117981,-54.389949
3.120954,-54.338986
3.124522,-54.277084
3.128803,-54.201703
3.133941,-54.109625
3.140105,-53.996726
3.147503,-53.857655
3.156381,-53.685364
3.167034,-53.470403
3.179817,-53.199826
3.195157,-52.855439
3.196998,-52.812603
3.199207,-52.760749
3.201858,-52.697866
3.205039,-52.621442
3.208856,-52.528314
3.213436,-52.414468
3.218933,-52.274745
3.225529,-52.102435
3.233444,-51.888677
3.242942,-51.621548
3.254340,-51.284666
3.268018,-50.854932
3.269659,-50.801411
3.271629,-50.736603
3.273992,-50.657982
3.276828,-50.562390
3.280231,-50.445845
3.284316,-50.303284
3.289216,-50.128194
3.295097,-49.912086
3.302155,-49.643730
3.310623,-49.307992
3.320786,-48.884039
3.332981,-48.342462
3.334444,-48.274958
3.336200,-48.193203
3.338308,-48.094002
3.340836,-47.973355
3.343871,-47.826222
3.347512,-47.646183
3.351882,-47.424976
3.357125,-47.151829
3.363418,-46.812477
3.370969,-46.387693
3.380029,-45.851007
3.390903,-45.165065
3.403950,-44.275594
3.405516,-44.163734
3.407395,-44.027957
3.409650,-43.862764
3.412355,-43.661208
3.415602,-43.414439
3.419498,-43.111047
3.424173,-42.736132
3.429783,-42.269938
3.436516,-41.685797
3.444595,-40.946964
3.454289,-40.001603
3.465923,-38.774289
3.479883,-37.150709
3.481558,-36.944056
3.483568,-36.692439
3.485981,-36.385150
3.488875,-36.008489
3.492349,-35.544728
3.496518,-34.970593
3.501520,-34.255029
3.507523,-33.355817
3.514726,-32.214316
3.523370,-30.747251
3.533742,-28.834091
3.546189,-26.299931
3.547683,-25.977709
3.549475,-25.585776
3.551626,-25.107874
3.554207,-24.523506
3.557304,-23.806727
3.561021,-22.924623
3.565481,-21.835542
3.570833,-20.487312
3.577255,-18.816135
3.584962,-16.747566
3.594210,-14.201884
3.605308,-11.106507
3.618626,-7.416855
3.620224,-6.979149
3.622142,-6.456301
3.624443,-5.832639
3.627205,-5.090137
3.630518,-4.208401
3.634495,-3.164878
3.639267,-1.935468
3.644993,-0.495733
3.651865,1.177045
3.660111,3.100697
3.670006,5.283743
3.681880,7.719824
3.683304,7.998670
3.685014,8.329499
3.687066,8.721065
3.689528,9.183167
3.692483,9.726571
3.696029,10.362804
3.700283,11.103756
3.705389,11.961036
3.711516,12.944977
3.718868,14.063229
3.727690,15.318884
3.738277,16.708162
3.750982,18.217825
3.752506,18.387925
3.754335,18.589079
3.756531,18.826253
3.759165,19.104898
3.762326,19.430860
3.766120,19.810195
3.770672,20.248883
3.776135,20.752383
3.782690,21.325008
3.790556,21.969090
3.799996,22.683937
3.811323,23.464626
3.824916,24.300770
3.826547,24.394137
3.828504,24.504336
3.830853,24.633970
3.833672,24.785859
3.837054,24.962968
3.841113,25.168295
3.845984,25.404687
3.851828,25.674574
3.858842,25.979614
3.867258,26.320229
3.877358,26.695044
3.889477,27.100278
3.904021,27.529151
3.921473,27.971459
3.923567,28.019631
3.926080,28.076173
3.929096,28.142244
3.932715,28.219040
3.937057,28.307727
3.942269,28.409355
3.948522,28.524728
3.956026,28.654234
3.965031,28.797630
3.975837,28.953796
3.988804,29.120467
3.990360,29.139034
3.992227,29.160935
3.994468,29.186681
3.997157,29.216820
4.000383,29.251926
4.004255,29.292571
4.008902,29.339285
4.014477,29.392502
4.021168,29.452479
4.029197,29.519196
4.038831,29.592232
4.050393,29.670625
4.064267,29.752728
4.065932,29.761756
4.067930,29.772372
4.070327,29.784806
4.073204,29.799295
4.076656,29.816078
4.080799,29.835374
4.085770,29.857362
4.091736,29.882140
4.098894,29.909686
4.107485,29.939793
4.117793,29.971999
4.130163,30.005514
4.145007,30.039139
4.146788,30.042722
4.148926,30.046903
4.151491,30.051753
4.154569,30.057339
4.158263,30.063714
4.162695,30.070906
4.168014,30.078907
4.174397,30.087641
4.182056,30.096949
4.191247,30.106542
4.202276,30.115970
4.215512,30.124574
4.231394,30.131446
4.233300,30.132035
4.235587,30.132680
4.238331,30.133368
4.241624,30.134073
4.245576,30.134749
4.250319,30.135325
4.256010,30.135693
4.262839,30.135692
4.271034,30.135093
4.280867,30.133576
4.292668,30.130708
4.306829,30.125911
4.323822,30.118445
4.325861,30.117433
4.328308,30.116189
4.331244,30.114654
4.334768,30.112752
4.338996,30.110387
4.344070,30.107436
4.350159,30.103738
4.357465,30.099087
4.366233,30.093220
4.376755,30.085799
4.389381,30.076399
4.404532,30.064483
4.422713,30.049392
4.424895,30.047528
4.427513,30.045277
4.430655,30.042556
4.434425,30.039265
4.438949,30.035278
4.444378,30.030443
4.450892,30.024570
4.458710,30.017427
4.468091,30.008729
4.479348,29.998123
4.492857,29.985181
4.509067,29.969379
4.528520,29.950081
4.530854,29.947743
4.533656,29.944932
4.537017,29.941551
4.541051,29.937483
4.545891,29.932585
4.551700,29.926688
4.558670,29.919583
4.567034,29.911020
4.577071,29.900694
4.589116,29.888240
4.603569,29.873214
4.620914,29.855086
4.622995,29.852904
4.625492,29.850284
4.628489,29.847138
4.632086,29.843359
4.636402,29.838820
4.641581,29.833368
4.647795,29.826817
4.655253,29.818946
4.664202,29.809486
4.674941,29.798118
4.687828,29.784455
4.703292,29.768036
4.721850,29.748307
4.724076,29.745938
4.726749,29.743095
4.729955,29.739683
4.733803,29.735588
4.738421,29.730673
4.743962,29.724775
4.750611,29.717696
4.758591,29.709201
4.768166,29.699006
4.779656,29.686773
4.793444,29.672098
4.809989,29.654495
4.811975,29.652384
4.814357,29.649850
4.817217,29.646810
4.820647,29.643162
4.824765,29.638786
4.829705,29.633536
4.835634,29.627238
4.842748,29.619683
4.851285,29.610621
4.861530,29.599754
4.873823,29.586725
4.888576,29.571107
4.906279,29.552392
4.927522,29.529975
4.930071,29.527288
4.933130,29.524065
4.936801,29.520198
4.941206,29.515560
4.946492,29.509998
4.952835,29.503327
4.960447,29.495328
4.969581,29.485738
4.980542,29.474244
4.993696,29.460471
5.009480,29.443973
5.028420,29.424218
5.030693,29.421851
5.033421,29.419011
5.036694,29.415605
5.040621,29.411519
